,text,date_published
787,zooted,2020-10-13
792,sun moon getting nice funny mc haechan nct 2020 forget stay healthy gbu,2020-10-13
793,get season two sun moon set glow,2020-10-13
795,lol jaemin always ending fairy,2020-10-13
798,see jaehyun treat taeyong way treats jaemin,2020-10-13
802,haechan gorgeous,2020-10-13
804,need jaejaez contents cute,2020-10-13
805,yuwin please,2020-10-13
808,jaejae double kill real hot man,2020-10-13
811,jaehyun nothing said haechan something needs said viewers,2020-10-13
816,episode 10 interview 90 dissing,2020-10-13
817,jaemin show pointless bengekkkkkk,2020-10-13
819,jaejae 2 bias nct,2020-10-13
820,yass another gaseyo,2020-10-13
822,jaemin pointless show let honest roast back like,2020-10-13
825,last ep wheres johnny jungwoo otherss,2020-10-13
827,2 biases one icky sofa,2020-10-13
832,,2020-10-13
834,sun moon favorite younger member jaehyun chenle jaehyun ones trained dream chenle though sun moon dream member specifically chenle jaehyun haechanjaemin believe lied national television like,2020-10-13
836,two main biases nct 127 nct dream jaehyun jaemin,2020-10-13
837,charming another way,2020-10-13
841,two wont leave told leave theyre funny,2020-10-13
849,someone explain jaehyun hug jaemin tight,2020-10-13
851,sun moon favorite brother jaehyun mouth jaemin haechan jaehyun heart course chenle,2020-10-13
852,jungwoo come,2020-10-13
853,must feel little bit unsure want come back sorry haechan taeil yg concept comeback concept funny show random love,2020-10-13
855,show haechan taeil roasting members lol,2020-10-13
858,pls next episod yuwin,2020-10-13
859,honestly hard focus subtitle,2020-10-13
861,like good looking married couple id8rutitddafhnic heartttt,2020-10-13
862,thanks sm letting taeil haechan becomes favourite mc,2020-10-13
864,jaehyun chose jaemin haechan preferred dongsaeng chenle watched might jealous jaehyun choose chenle,2020-10-13
865,taeil favorite younger member jaehyun haechan jaemin jeno chenle jisung left chat,2020-10-13
867,international fan understand korean language turn subs looks like newlyweds interview,2020-10-13
868,really justify jaemin statement wow charm change anyone world jaejae double kill,2020-10-13
870,everywhere go get nct videos ad know way would skip way,2020-10-13
873,jaehyun humor one,2020-10-13
875,omoo jaejae waiting nct u jaejae,2020-10-13
876,haechan cute,2020-10-13
877,woah got dejavu ads,2020-10-13
880,sitting close got thinking time jaemin said jaehyun promised would kiss 24 hahahahahah,2020-10-13
882,jaemin jaehyun beautiful taeil haechan tooo lot visuals one video,2020-10-13
885,love,2020-10-13
886,pokémon sun moon nct sun moon,2020-10-13
887,always happy fav member jaehyun taeil haechan one frame n cutie nana complete,2020-10-13
888,really hope next guest cup coffee members miss sm,2020-10-13
